#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
16,X,VCCO_16,C21,500,-5200,100,D,50,50,6,0,W
16,X,VCCO_16,D18,500,-5300,100,D,50,50,6,0,W
16,X,VCCO_16,E15,500,-5400,100,D,50,50,6,0,W
16,X,VCCO_16,F22,500,-5500,100,D,50,50,6,0,W
34,X,IO_0_34,T3,500,0,100,L,50,50,7,0,I
34,X,IO_L1P_T0_34,T1,500,-100,100,L,50,50,7,0,I
34,X,IO_L1N_T0_34,U1,500,-200,100,L,50,50,7,0,I
34,X,IO_L2P_T0_34,U2,500,-300,100,L,50,50,7,0,I
34,X,IO_L2N_T0_34,V2,500,-400,100,L,50,50,7,0,I
34,X,IO_L3P_T0_DQS_34,R3,500,-500,100,L,50,50,7,0,I
34,X,IO_L3N_T0_DQS_34,R2,500,-600,100,L,50,50,7,0,I
34,X,IO_L4P_T0_34,W2,500,-700,100,L,50,50,7,0,I
34,X,IO_L4N_T0_34,Y2,500,-800,100,L,50,50,7,0,I
34,X,IO_L5P_T0_34,W1,500,-900,100,L,50,50,7,0,I
34,X,IO_L5N_T0_34,Y1,500,-1000,100,L,50,50,7,0,I
34,X,IO_L6P_T0_34,U3,500,-1100,100,L,50,50,7,0,I
34,X,IO_L6N_T0_VREF_34,V3,500,-1200,100,L,50,50,7,0,I
34,X,IO_L7P_T1_34,AA1,500,-1300,100,L,50,50,7,0,I
34,X,IO_L7N_T1_34,AB1,500,-1400,100,L,50,50,7,0,I
34,X,IO_L8P_T1_34,AB3,500,-1500,100,L,50,50,7,0,I
34,X,IO_L8N_T1_34,AB2,500,-1600,100,L,50,50,7,0,I
34,X,IO_L9P_T1_DQS_34,Y3,500,-1700,100,L,50,50,7,0,I
34,X,IO_L9N_T1_DQS_34,AA3,500,-1800,100,L,50,50,7,0,I
34,X,IO_L10P_T1_34,AA5,500,-1900,100,L,50,50,7,0,I
